"AGE";"EDUC";"EMPSTA";"FREQ";"MUN_DENSITY_LEVEL";"PCS_ESE";"QUANTILE_NIVVIE";"SEX";"TICM_MEASURE";"OBS_STATUS";"TIME_PERIOD";"OBS_VALUE"
"Y_GE75";"_T";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_X_OUTILS_NUM";"L";2015;
"Y_GE60";"_T";"_T";"A";"_T";"_T";"_T";"F";"EQUIP_ORDI";"L";2015;
"_T";"_T";"1";"A";"_T";"4";"_T";"_T";"EQUIP_LISEUSE";"L";2015;
"_T";"_T";"1";"A";"_T";"_T";"_T";"_T";"EQUIP_SMARTPHONE";"L";2015;
"_T";"_T";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_TAB";"L";2015;
"Y_GE60";"3_X_353";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_SMARTPHONE";"L";2015;
"Y15T44";"4T8";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_TAB";"L";2015;
"_T";"_T";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_INT";"A";2025;92.4
"_T";"_T";"_T";"A";"DENSE_URBAN";"_T";"_T";"_T";"EQUIP_TAB";"A";2025;41.2
"_T";"_T";"_T";"A";"_T";"_T";"Q2";"_T";"EQUIP_INT";"A";2025;89.7
"_T";"_T";"1";"A";"_T";"1T2";"_T";"_T";"HAUT_DEBIT";"A";2025;95.6
"_T";"_T";"1";"A";"_T";"_T";"_T";"_T";"EQUIP_TAB";"L";2024;
"Y45T59";"2_353";"_T";"A";"_T";"_T";"_T";"_T";"HAUT_DEBIT";"A";2024;92
"Y15T44";"0T1";"_T";"A";"_T";"_T";"_T";"_T";"HAUT_DEBIT";"A";2024;85.1
"_T";"_T";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_ORDI";"A";2025;79.4
"_T";"_T";"_T";"A";"_T";"_T";"Q1";"_T";"EQUIP_LISEUSE";"A";2025;6.1
"Y45T59";"_T";"_T";"A";"_T";"_T";"_T";"M";"HAUT_DEBIT";"A";2024;92.6
"_T";"_T";"_T";"A";"PERI_URBAN_RURAL";"_T";"_T";"_T";"EQUIP_INT";"A";2025;92.2
"_T";"_T";"1";"A";"_T";"3";"_T";"_T";"EQUIP_LISEUSE";"L";2014;
"Y_GE60";"4T8";"_T";"A";"_T";"_T";"_T";"_T";"HAUT_DEBIT";"A";2013;80
"Y15T44";"4T8";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_ORDI";"L";2014;
"Y15T44";"4T8";"_T";"A";"_T";"_T";"_T";"_T";"HAUT_DEBIT";"A";2014;94.6
"_T";"_T";"1";"A";"_T";"1T2";"_T";"_T";"EQUIP_X_OUTILS_NUM";"L";2014;
"Y_GE60";"_T";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_INT";"A";2014;56.7
"Y45T59";"_T";"_T";"A";"_T";"_T";"_T";"M";"EQUIP_INT";"A";2015;89
"_T";"_T";"_T";"A";"_T";"_T";"_T";"M";"EQUIP_SMARTPHONE";"L";2014;
"_T";"_T";"1";"A";"_T";"6";"_T";"_T";"EQUIP_ORDI";"L";2014;
"Y45T59";"_T";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_X_OUTILS_NUM";"L";2014;
"Y_GE60";"3_X_353";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_TAB";"L";2014;
"_T";"_T";"1";"A";"_T";"_T";"_T";"_T";"HAUT_DEBIT";"A";2012;88.3
"_T";"0T1";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_ORDI";"L";2013;
"_T";"_T";"1";"A";"_T";"1T2";"_T";"_T";"EQUIP_LISEUSE";"L";2013;
"_T";"_T";"_T";"A";"_T";"_T";"Q4";"_T";"EQUIP_INT";"L";2013;
"_T";"2_353";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_INT";"A";2013;83.4
"Y15T44";"_T";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_TAB";"L";2012;
"_T";"_T";"_T";"A";"_T";"_T";"_T";"F";"EQUIP_LISEUSE";"L";2012;
"Y_GE60";"_T";"_T";"A";"_T";"_T";"_T";"F";"EQUIP_TAB";"L";2013;
"_T";"2_353";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_LISEUSE";"L";2012;
"Y_GE60";"_T";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_ORDI";"L";2012;
"_T";"_T";"_T";"A";"NON_PERI_URBAN_RURAL";"_T";"_T";"_T";"HAUT_DEBIT";"L";2012;
"Y_GE75";"_T";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_ORDI";"L";2024;
