"AGE";"EP_MEASURE";"FREQ";"GEO";"GEO_OBJECT";"SEASONAL_ADJUST";"SEX";"UNIT_MEASURE";"DECIMALS";"OBS_STATUS";"OBS_STATUS_FR";"UNIT_MULT";"TIME_PERIOD";"OBS_VALUE"
"_T";"EVO_NAT_POP_RT";"A";"F";"FRANCE";"N";"_T";"PM";"1";"A";"D";"0";2012;3.9
"_T";"EVO_MIGRAT_POP";"A";"F";"FRANCE";"N";"_T";"NR";"0";"A";"D";"0";2013;99956
"_T";"EVO_NAT_POP_RT";"A";"FM";"FRANCE";"N";"_T";"PM";"1";"A";"D";"0";1933;0.4
"_T";"AVERAGE_POP";"A";"F";"FRANCE";"N";"_T";"NR";"0";"A";"D";"0";1992;58711620
"Y20T59";"POP_JAN_1ST";"A";"FM";"FRANCE";"N";"_T";"NR";"0";"A";"D";"0";1998;31342595
"Y_LT20";"POP_JAN_1ST";"A";"FM";"FRANCE";"N";"_T";"NR";"0";"A";"D";"0";1957;13825886
"Y20T59";"POP_JAN_1ST";"A";"FM";"FRANCE";"N";"_T";"NR";"0";"A";"D";"0";1993;30730777
"Y_LT20";"POP_JAN_1ST";"A";"FM";"FRANCE";"N";"_T";"NR";"0";"A";"D";"0";2006;15280401
"Y_GE60";"POP_JAN_1ST";"A";"FM";"FRANCE";"N";"_T";"NR";"0";"A";"D";"0";1965;8465350
"Y_GE75";"POP_JAN_1ST";"A";"FM";"FRANCE";"N";"_T";"NR";"0";"A";"D";"0";1955;1772771
"Y_GE60";"POP_JAN_1ST";"A";"FM";"FRANCE";"N";"_T";"NR";"0";"A";"D";"0";2020;17453030
"Y_LT15";"POP_JAN_1ST";"A";"FM";"FRANCE";"N";"_T";"NR";"0";"A";"D";"0";2006;11258747
"Y_GE75";"POP_JAN_1ST";"A";"FM";"FRANCE";"N";"_T";"NR";"0";"A";"D";"0";1959;1914066
"Y15T49";"POP_JAN_1ST";"A";"FM";"FRANCE";"N";"F";"NR";"0";"A";"D";"0";1946;10361974
"Y15T49";"POP_JAN_1ST";"A";"FM";"FRANCE";"N";"M";"NR";"0";"A";"D";"0";1954;10243872
"Y_LT20";"POP_JAN_1ST";"A";"FM";"FRANCE";"N";"F";"NR";"0";"A";"D";"0";1964;7947163
"Y_LT20";"POP_JAN_1ST";"A";"FM";"FRANCE";"N";"F";"NR";"0";"A";"D";"0";1987;7773028
"Y20T59";"POP_JAN_1ST";"A";"FM";"FRANCE";"N";"F";"NR";"0";"A";"D";"0";1962;11544161
"Y_GE60";"POP_JAN_1ST";"A";"FM";"FRANCE";"N";"F";"NR";"0";"A";"D";"0";2012;8474360
"Y_GE75";"POP_JAN_1ST";"A";"FM";"FRANCE";"N";"F";"NR";"0";"A";"D";"0";1958;1214454
"Y_GE60";"POP_JAN_1ST";"A";"FM";"FRANCE";"N";"F";"NR";"0";"A";"D";"0";1985;5899979
"Y15T49";"POP_JAN_1ST";"A";"FM";"FRANCE";"N";"M";"NR";"0";"A";"D";"0";1977;13080072
"Y_LT15";"POP_JAN_1ST";"A";"FM";"FRANCE";"N";"F";"NR";"0";"A";"D";"0";1988;5609511
"Y_GE75";"POP_JAN_1ST";"A";"FM";"FRANCE";"N";"F";"NR";"0";"A";"D";"0";1991;2491308
"Y20T59";"POP_JAN_1ST";"A";"F";"FRANCE";"N";"_T";"NR";"0";"A";"D";"0";2012;33891079
"_T";"AVERAGE_POP";"A";"FM";"FRANCE";"N";"_T";"NR";"0";"A";"D";"0";2001;59476236
"Y20T59";"POP_JAN_1ST";"A";"F";"FRANCE";"N";"_T";"NR";"0";"A";"D";"0";2010;33997230
"_T";"AVERAGE_POP";"A";"FM";"FRANCE";"N";"_T";"NR";"0";"A";"D";"0";1977;53145286
"Y_GE60";"POP_JAN_1ST";"A";"F";"FRANCE";"N";"_T";"NR";"0";"A";"D";"0";2002;12515110
"Y15T49";"POP_JAN_1ST";"A";"F";"FRANCE";"N";"_T";"NR";"0";"A";"D";"0";2018;28801966
"_T";"EVO_NAT_POP";"A";"FM";"FRANCE";"N";"_T";"NR";"0";"A";"D";"0";2010;261755
"_T";"EVO_NAT_POP";"A";"FM";"FRANCE";"N";"_T";"NR";"0";"A";"D";"0";1925;62244
"Y15T49";"POP_JAN_1ST";"A";"F";"FRANCE";"N";"_T";"NR";"0";"A";"D";"0";2013;29188319
"Y_GE60";"POP_JAN_1ST";"A";"FM";"FRANCE";"N";"F";"NR";"0";"A";"D";"0";2021;9868677
"Y15T49";"POP_JAN_1ST";"A";"FM";"FRANCE";"N";"M";"NR";"0";"A";"D";"0";1946;10182922
"Y_LT20";"POP_JAN_1ST";"A";"FM";"FRANCE";"N";"F";"NR";"0";"A";"D";"0";1950;6186173
"Y20T59";"POP_JAN_1ST";"A";"FM";"FRANCE";"N";"F";"NR";"0";"R";"D";"0";2022;16455672
"Y_LT15";"POP_JAN_1ST";"A";"FM";"FRANCE";"N";"F";"NR";"0";"A";"D";"0";1973;6226082
"Y_LT20";"POP_JAN_1ST";"A";"FM";"FRANCE";"N";"F";"NR";"0";"A";"D";"0";1985;7856616
"Y15T49";"POP_JAN_1ST";"A";"FM";"FRANCE";"N";"M";"NR";"0";"A";"D";"0";1957;10155228
"Y15T49";"POP_JAN_1ST";"A";"FM";"FRANCE";"N";"M";"NR";"0";"A";"D";"0";1993;14568951
"Y_LT20";"POP_JAN_1ST";"A";"FM";"FRANCE";"N";"F";"NR";"0";"A";"D";"0";2017;7623320
"_T";"EVO_NAT_POP_RT";"A";"F";"FRANCE";"N";"_T";"PM";"1";"A";"D";"0";1990;4.4
"_T";"AVERAGE_POP";"A";"F";"FRANCE";"N";"_T";"NR";"0";"A";"D";"0";2003;62037546
"_T";"EVO_NAT_POP_RT";"A";"FM";"FRANCE";"N";"_T";"PM";"1";"A";"D";"0";1949;7.2
"_T";"EVO_NAT_POP_RT";"A";"FM";"FRANCE";"N";"_T";"PM";"1";"A";"D";"0";1964;7.4
"_T";"EVO_MIGRAT_POP";"A";"F";"FRANCE";"N";"_T";"NR";"0";"A";"D";"0";1991;88397
"_T";"EVO_NAT_POP";"A";"F";"FRANCE";"N";"_T";"NR";"0";"A";"D";"0";2012;251179
"_T";"EVO_NAT_POP_RT";"A";"FM";"FRANCE";"N";"_T";"PM";"1";"A";"D";"0";1993;3.1
"_T";"EVO_NAT_POP_RT";"A";"F";"FRANCE";"N";"_T";"PM";"1";"A";"D";"0";1986;4.4
"_T";"EVO_NAT_POP_RT";"A";"FM";"FRANCE";"N";"_T";"PM";"1";"A";"D";"0";1981;4.7
"_T";"STAT_ADJUST";"A";"F";"FRANCE";"N";"_T";"NR";"0";"A";"D";"0";1983;0
"Y_LT20";"POP_JAN_1ST";"A";"F";"FRANCE";"N";"_T";"NR";"0";"A";"D";"0";1995;15650395
"_T";"EVO_MIGRAT_POP";"A";"FM";"FRANCE";"N";"_T";"NR";"0";"A";"D";"0";2000;70000
"_T";"EVO_NAT_POP";"A";"FM";"FRANCE";"N";"_T";"NR";"0";"A";"D";"0";2006;280480
"_T";"EVO_NAT_POP";"A";"FM";"FRANCE";"N";"_T";"NR";"0";"A";"D";"0";2020;42065
"Y_GE60";"POP_JAN_1ST";"A";"F";"FRANCE";"N";"_T";"NR";"0";"A";"D";"0";2014;15975158
"_T";"EVO_MIGRAT_POP";"A";"FM";"FRANCE";"N";"_T";"NR";"0";"A";"D";"0";2018;211349
"_T";"AVERAGE_POP";"A";"FM";"FRANCE";"N";"_T";"NR";"0";"A";"D";"0";1948;41111882
"_T";"AVERAGE_POP";"A";"FM";"FRANCE";"N";"_T";"NR";"0";"A";"D";"0";2014;64164390
"_T";"STAT_ADJUST";"A";"FM";"FRANCE";"N";"_T";"NR";"0";"A";"D";"0";2010;0
